Farm Name,Farmer Name,Farm Limit Used,Phone Number,Farm Size,Farm Location, Technician Name, Date,Status
"Afgan Farm","Afgan  ","2","","0.003 Hectares","Afghanistan, Parañaque, 1709 Metro Manila, Philippines","N/A","09/18/2024","approved"
"11","1  ","3","","0.071 Hectares","null","N/A","09/18/2024","approved"
"1","1  ","1","","0.264 Hectares","null","N/A","09/18/2024","approved"
"Uganda 2","UG  ","4","","158.883 Hectares","8 Kibuli 903, Kampala, Uganda","N/A","09/18/2024","approved"
"cHECK","tESTING  ","2","","194.077 Hectares","25f Kimera Rd, Kampala, Uganda","N/A","09/18/2024","approved"
"test111","test  ","4","","9.738 Hectares","Kampala, Uganda. Kampala Road, Kampala, Uganda","N/A","09/18/2024","approved"
"MANUAL","tESTING  ","2","","141.057 Hectares","PV92+R5Q, Nairobi, Kenya","N/A","09/18/2024","approved"
"Uganda 2","UG  ","4","","158.883 Hectares","8 Kibuli 903, Kampala, Uganda","N/A","09/18/2024","approved"
"Uganda","UG  ","4","","194.077 Hectares","G7FV+JJR, Eldoret, Kenya","N/A","09/18/2024","approved"
"Uganda","UG  ","4","","194.077 Hectares","G7FV+JJR, Eldoret, Kenya","N/A","09/18/2024","approved"
"ss","aaa  ","3","","0.000 Hectares","","N/A","09/17/2024","approved"
"333","aaa  ","3","","67.044 Hectares","","N/A","09/17/2024","approved"
"dada","teada  ","1","","24.328 Hectares","1e Old Port Bell Rd, Kampala, Uganda","N/A","09/17/2024","approved"
"dad","ereadad  ","1","","6.773 Hectares","1R Jinja Road, Kampala, Uganda","N/A","09/17/2024","approved"
"11 12 farm","11  12farm","1","","0.000 Hectares","M9CG+M46, Gatthaghar, Bhaktapur
27.6716684, 85.3752888","pre prod test","09/17/2024","approved"
"123 farm tec","100 one  200 two","1","","0.000 Hectares","M9CG+M46, Gatthaghar, Bhaktapur
27.6716674, 85.3752902","pre prod test","09/17/2024","approved"
"tech farm new1","sijan  gurung12","1","","0.000 Hectares","M9CG+M46, Gatthaghar, Bhaktapur
27.6716671, 85.3752849","pre prod test","09/17/2024","approved"
"new tech","bhimsen  thapa","1","","0.000 Hectares","Nagdhunga, Nagdhunga, Kaski
28.2095831, 83.9855674","pre prod test","09/17/2024","approved"
"farmer abc","kalu p pariwar","1","","0.000 Hectares","Nagdhunga, Nagdhunga, Kaski
28.2095831, 83.9855674","pre prod test","09/17/2024","approved"
"farm A","farmer name b1","1","","0.000 Hectares","M9CG+M46, Gatthaghar, Bhaktapur
27.6716634, 85.375295","pre prod test","09/17/2024","approved"
"Hitesh Farm 1","Hitesh  Chalise","1","","36.317 Hectares","JCXH+FG, Sipadol, Bhaktapur
27.6487368, 85.4291539","N/A","09/17/2024","approved"
"Rams UG","Ram  ","1","","0.650 Hectares","26 Kampala Road, Kampala, Uganda","N/A","09/17/2024","approved"
"Haris AFG","Hari  ","2","","0.007 Hectares","Afghanistan, Parañaque, 1709 Metro Manila, Philippines","N/A","09/17/2024","approved"
"Afgan Farm","Afgan  ","2","","0.003 Hectares","Afghanistan, Parañaque, 1709 Metro Manila, Philippines","N/A","09/17/2024","approved"
